Unnamed: 0,INDEX,Team_ID,Game_ID,GAME_DATE,TEAM,OPPONENT,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DATE,HOME,Game_Num,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,target,W_PCT_5,FGM_5,FGA_5,FG_PCT_5,FG3M_5,FG3A_5,FG3_PCT_5,FTM_5,FTA_5,FT_PCT_5,OREB_5,DREB_5,REB_5,AST_5,STL_5,BLK_5,TOV_5,PF_5,PTS_5,E_OFF_RATING_5,OFF_RATING_5,E_DEF_RATING_5,DEF_RATING_5,E_NET_RATING_5,NET_RATING_5,AST_PCT_5,AST_TOV_5,AST_RATIO_5,OREB_PCT_5,DREB_PCT_5,REB_PCT_5,E_TM_TOV_PCT_5,TM_TOV_PCT_5,EFG_PCT_5,TS_PCT_5,USG_PCT_5,E_USG_PCT_5,E_PACE_5,PACE_5,PACE_PER40_5,POSS_5,PIE_5,WL_5,Team_ID_5,Game_Num_5,home_next,team_opp_next,date_next
4,4,1610612737,22300117,"NOV 01, 2023",ATL,WAS,True,3.0,2.0,0.6,240,46,92,0.5,9,32,0.281,29,32,0.906,14,43,57,26,8,3,20,16,130,2023-11-01,True,5.0,115.0,118.2,107.9,109.0,7.1,9.2,0.565,1.24,17.0,0.362,0.827,0.606,18.571,19.1,0.549,0.613,1.0,0.197,112.62,110.5,92.08,110,0.542,1,0.2866,44.4,90.2,0.493,11.0,32.0,0.34,23.0,27.0,0.8572,10.4,34.6,45.0,27.6,9.6,3.8,14.4,16.8,122.8,115.24,117.62,110.76,112.26,4.5,5.340000000000001,0.6222,1.934,19.12,0.2946,0.7178,0.5118,13.9752,14.24,0.5546,0.6035999999999999,1.0,0.198,106.272,104.5,87.084,104.6,0.5394,0.6,1610612737.0,3.0,False,NOP,2023-11-04
5,5,1610612737,22300135,"NOV 04, 2023",ATL,NOP,True,4.0,2.0,0.667,240,45,93,0.484,14,41,0.341,19,24,0.792,19,33,52,28,4,6,11,16,123,2023-11-04,False,6.0,126.1,129.5,110.2,109.4,15.8,20.1,0.622,2.15,19.4,0.451,0.756,0.594,13.325,13.7,0.559,0.594,1.0,0.197,96.4,95.5,79.58,95,0.547,0,0.42,45.6,90.2,0.506,12.8,34.4,0.3738,21.4,25.2,0.852,11.8,35.2,47.0,28.4,8.0,4.8,14.2,16.2,125.4,120.0,122.36,110.58,111.84,9.42,10.52,0.6235999999999999,1.964,19.66,0.3296,0.7342,0.5402,14.407999999999998,14.68,0.5772,0.62,1.0,0.1976,104.356,102.8,85.666,102.8,0.5586,0.8,1610612737.0,4.0,False,OKC,2023-11-06
6,6,1610612737,22300155,"NOV 06, 2023",ATL,OKC,False,4.0,3.0,0.571,240,38,102,0.373,14,42,0.333,27,32,0.844,25,34,59,27,8,3,15,16,117,2023-11-06,False,7.0,110.3,109.3,118.7,118.9,-8.4,-9.5,0.711,1.8,17.1,0.403,0.76,0.556,14.14,14.0,0.441,0.504,1.0,0.201,106.1,106.5,88.75,107,0.45,1,0.5342,44.8,93.2,0.484,13.2,36.4,0.3654,22.0,25.6,0.8608,15.0,35.0,50.0,28.2,8.2,4.2,14.4,15.4,124.8,119.24,122.0,110.62,111.84,8.62,10.18,0.6324,1.924,19.14,0.3592000000000001,0.745,0.5534,14.5744,14.88,0.555,0.6010000000000001,1.0,0.1976,104.424,102.7,85.582,102.6,0.5496,0.8,1610612737.0,5.0,False,ORL,2023-11-09
7,7,1610612737,22300172,"NOV 09, 2023",ATL,ORL,True,5.0,3.0,0.625,240,41,85,0.482,15,39,0.385,23,30,0.767,8,28,36,22,13,7,17,25,120,2023-11-09,False,8.0,110.9,115.4,111.8,114.4,-0.9,1.0,0.537,1.22,15.9,0.298,0.615,0.465,16.636,17.3,0.571,0.611,1.0,0.198,107.3,104.0,86.67,104,0.517,0,0.5926,43.6,91.6,0.4794,13.2,36.8,0.3614,23.0,27.2,0.8506,14.0,34.0,48.0,26.2,7.8,5.2,14.4,17.0,123.4,117.62,120.66,112.18,113.16,5.42,7.52,0.6035999999999999,1.7919999999999998,18.1,0.3396,0.7292,0.5372,14.7144,15.080000000000002,0.5519999999999999,0.5995999999999999,1.0,0.1974,104.636,102.9,85.75,102.6,0.5294000000000001,0.8,1610612737.0,6.0,True,MIA,2023-11-11
8,8,1610612737,22300175,"NOV 11, 2023",ATL,MIA,False,5.0,4.0,0.556,240,38,87,0.437,18,46,0.391,15,18,0.833,15,33,48,23,6,6,21,19,109,2023-11-11,True,9.0,106.9,105.8,113.6,113.6,-6.6,-7.8,0.605,1.05,16.4,0.314,0.795,0.537,21.586,21.4,0.54,0.574,1.0,0.198,102.46,103.0,85.83,103,0.438,1,0.6038,41.6,91.8,0.4551999999999999,14.0,40.0,0.3462,22.6,27.2,0.8284,16.2,34.2,50.4,25.2,7.8,5.0,16.8,18.4,119.8,113.84,115.64,112.44,113.06,1.4,2.6000000000000005,0.6079999999999999,1.492,17.160000000000004,0.3656,0.7506,0.5516,16.851599999999998,17.1,0.532,0.5791999999999999,1.0,0.1982,104.976,103.9,86.58200000000001,103.8,0.4987999999999999,0.6,1610612737.0,7.0,False,DET,2023-11-14
9,9,1610612737,22300018,"NOV 14, 2023",ATL,DET,True,6.0,4.0,0.6,240,45,87,0.517,12,33,0.364,24,26,0.923,10,31,41,28,9,7,14,19,126,2023-11-14,False,10.0,123.0,121.2,116.4,116.5,6.6,4.6,0.622,2.0,19.9,0.279,0.681,0.489,13.667,13.5,0.586,0.64,1.0,0.201,102.78,103.5,86.25,104,0.52,0,0.6038,41.4,90.8,0.4586,14.6,40.2,0.3628,21.6,26.0,0.8318,15.4,31.8,47.2,25.6,8.0,5.8,15.6,19.0,119.0,115.44,116.24,114.14,114.56,1.3,1.680000000000001,0.6194,1.6439999999999997,17.740000000000002,0.349,0.7214,0.5282000000000001,15.8708,15.98,0.5394,0.5845999999999999,1.0,0.199,103.008,102.5,85.416,102.6,0.4944,0.6,1610612737.0,8.0,True,NYK,2023-11-15
10,10,1610612737,22300193,"NOV 15, 2023",ATL,NYK,False,6.0,5.0,0.545,240,41,75,0.547,12,31,0.387,20,26,0.769,6,24,30,28,11,6,15,20,114,2023-11-15,True,11.0,119.4,120.0,113.9,120.8,5.5,-0.8,0.683,1.87,21.6,0.184,0.551,0.391,15.717,15.8,0.627,0.659,1.0,0.199,98.64,95.5,79.58,95,0.512,0,0.5794,40.6,87.2,0.4711999999999999,14.2,38.2,0.372,21.8,26.4,0.8272,12.8,30.0,42.8,25.6,9.4,5.8,16.4,19.8,117.2,114.1,114.34,114.88,116.84,-0.7600000000000001,-2.499999999999999,0.6315999999999999,1.588,18.18,0.2956,0.6804,0.4876,16.3492,16.4,0.5529999999999999,0.5976,1.0,0.1994,103.456,102.5,85.416,102.6,0.4873999999999999,0.4,1610612737.0,9.0,True,PHI,2023-11-17
11,11,1610612737,22300029,"NOV 17, 2023",ATL,PHI,False,6.0,6.0,0.5,240,40,89,0.449,12,33,0.364,24,30,0.8,14,25,39,24,8,4,13,20,116,2023-11-17,True,12.0,114.6,117.2,120.8,128.6,-6.2,-11.4,0.6,1.85,17.2,0.38,0.578,0.474,12.846,13.1,0.517,0.568,1.0,0.2,102.76,98.5,82.08,99,0.434,0,0.5652000000000001,41.0,84.6,0.4864,13.8,36.4,0.3782,21.2,26.0,0.8183999999999999,10.6,28.2,38.8,25.0,9.4,6.0,16.0,20.6,117.0,114.96,115.92,115.3,118.78,-0.3200000000000001,-2.8799999999999994,0.6094,1.598,18.2,0.291,0.6439999999999999,0.4711999999999999,16.0904,16.22,0.5682,0.6103999999999999,1.0,0.1992,102.788,100.9,84.082,101.0,0.4841999999999999,0.4,1610612737.0,10.0,True,IND,2023-11-21
12,12,1610612737,22300039,"NOV 21, 2023",ATL,IND,False,6.0,7.0,0.462,240,57,95,0.6,15,31,0.484,23,28,0.821,12,27,39,28,8,4,15,23,152,2023-11-21,True,13.0,137.8,140.7,138.5,144.0,-0.8,-3.3,0.491,1.87,18.6,0.35,0.7,0.525,13.597,13.9,0.679,0.708,1.0,0.198,111.82,108.5,90.42,108,0.491,1,0.5326000000000001,44.2,86.6,0.51,13.8,34.8,0.398,21.2,25.6,0.8291999999999999,11.4,28.0,39.4,26.2,8.4,5.4,15.6,20.2,123.4,120.34,120.98,120.64,124.7,-0.3000000000000001,-3.7399999999999993,0.6002000000000001,1.7280000000000002,18.74,0.3014,0.661,0.4832000000000001,15.4826,15.54,0.5898000000000001,0.6298,1.0,0.1992,103.692,101.8,84.832,101.8,0.479,0.2,1610612737.0,11.0,True,BKN,2023-11-22
13,13,1610612737,22300227,"NOV 22, 2023",ATL,BKN,True,7.0,7.0,0.5,265,51,116,0.44,18,49,0.367,27,29,0.931,22,36,58,24,10,8,14,18,147,2023-11-22,True,14.0,121.7,126.7,123.3,125.0,-1.6,1.7,0.471,1.71,14.4,0.431,0.607,0.516,11.593,12.1,0.517,0.571,1.0,0.198,107.92,105.06,87.55,116,0.506,1,0.5214000000000001,46.8,92.4,0.5106,13.8,35.4,0.3932,23.6,27.8,0.8488,12.8,28.6,41.4,26.4,9.2,5.8,14.2,20.0,131.0,123.3,125.16,122.58,126.98,0.7,-1.8399999999999992,0.5734,1.86,18.34,0.3248,0.6234,0.479,13.484,13.68,0.5851999999999999,0.6292,1.0,0.1992,104.784,102.212,85.176,104.4,0.4926,0.4,1610612737.0,12.0,False,WAS,2023-11-25
