,INDEX,Team_ID,Game_ID,GAME_DATE,TEAM,OPPONENT,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DATE,HOME,Game_Num,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,season,target,W_PCT_5,FGM_5,FGA_5,FG_PCT_5,FG3M_5,FG3A_5,FG3_PCT_5,FTM_5,FTA_5,FT_PCT_5,OREB_5,DREB_5,REB_5,AST_5,STL_5,BLK_5,TOV_5,PF_5,PTS_5,E_OFF_RATING_5,OFF_RATING_5,E_DEF_RATING_5,DEF_RATING_5,E_NET_RATING_5,NET_RATING_5,AST_PCT_5,AST_TOV_5,AST_RATIO_5,OREB_PCT_5,DREB_PCT_5,REB_PCT_5,E_TM_TOV_PCT_5,TM_TOV_PCT_5,EFG_PCT_5,TS_PCT_5,USG_PCT_5,E_USG_PCT_5,E_PACE_5,PACE_5,PACE_PER40_5,POSS_5,PIE_5,WL_5,Team_ID_5,season_5
4,4,1610612737,22100066,"OCT 28, 2021",ATL,WAS,False,3,2,0.6,240,48,88,0.545,6,21,0.286,9,14,0.643,6,37,43,26,4,3,13,16,111,2021-10-28,False,5,109.7,109.9,118.2,120.8,-8.4,-10.9,0.542,2.0,19.5,0.136,0.691,0.444,12.851,12.9,0.58,0.589,1.0,0.196,102.2,101.0,84.17,101.0,0.479,2021,0,0.7034,43.4,93.4,0.46720000000000006,10.2,30.4,0.3302,11.6,15.2,0.7626,12.0,39.2,51.2,24.4,6.4,4.4,11.8,17.6,108.6,107.94000000000001,108.24000000000001,101.46000000000001,102.75999999999999,6.5200000000000005,5.48,0.5608000000000001,2.002,17.78,0.2616,0.7524,0.5202,12.285599999999999,12.34,0.5218,0.5448,1.0,0.198,100.816,100.1,83.418,100.2,0.5344,0.6,1610612737.0,2021.0
5,5,1610612737,22100082,"OCT 30, 2021",ATL,PHI,False,3,3,0.5,240,36,95,0.379,8,22,0.364,14,19,0.737,20,29,49,24,6,1,19,17,94,2021-10-30,False,6,91.8,94.9,120.4,122.0,-28.5,-27.1,0.667,1.26,16.4,0.387,0.8,0.549,18.562,19.2,0.421,0.455,1.0,0.199,101.86,99.5,82.92,99.0,0.351,2021,1,0.6033999999999999,41.6,93.6,0.44719999999999993,8.8,27.8,0.3172,12.8,17.2,0.7322,14.8,35.2,50.0,23.0,6.0,2.8,13.0,17.8,104.8,104.75999999999999,105.48000000000002,108.75999999999999,110.42,-3.94,-4.9399999999999995,0.5564,1.778,16.7,0.30700000000000005,0.7504,0.5256000000000001,13.520800000000003,13.680000000000001,0.4941999999999999,0.5204,1.0,0.19820000000000002,100.32000000000001,99.2,82.66799999999999,99.2,0.4659999999999999,0.4,1610612737.0,2021.0
6,6,1610612737,22100097,"NOV 01, 2021",ATL,WAS,True,4,3,0.571,240,38,83,0.458,13,34,0.382,29,29,1.0,13,34,47,24,9,5,11,17,118,2021-11-01,True,7,125.9,122.9,113.2,116.8,12.6,6.1,0.632,2.18,18.4,0.333,0.778,0.556,11.732,11.5,0.536,0.616,1.0,0.202,95.9,95.5,79.58,96.0,0.551,2021,0,0.6176,41.6,90.4,0.462,9.4,27.8,0.3348,16.8,20.0,0.8122,14.0,34.6,48.6,23.8,6.8,3.2,13.4,16.6,109.4,110.47999999999999,110.47999999999999,110.97999999999999,112.96,-0.4599999999999998,-2.48,0.5776000000000001,1.77,17.4,0.3102,0.7596,0.5342,14.023000000000001,14.12,0.5146000000000001,0.5536,1.0,0.1984,99.852,98.9,82.418,99.0,0.4932,0.6,1610612737.0,2021.0
7,7,1610612737,22100113,"NOV 03, 2021",ATL,BKN,False,4,4,0.5,240,41,94,0.436,13,35,0.371,13,15,0.867,12,40,52,23,8,4,14,16,108,2021-11-03,False,8,105.3,103.8,114.4,113.6,-9.1,-9.7,0.561,1.64,16.7,0.255,0.833,0.524,13.645,13.5,0.505,0.537,1.0,0.199,102.44,103.5,86.25,104.0,0.463,2021,0,0.5842,40.6,91.2,0.44699999999999995,9.6,28.4,0.33399999999999996,15.8,18.8,0.8141999999999999,14.4,34.8,49.2,23.6,6.2,3.4,13.6,16.0,106.6,108.36000000000001,107.78000000000002,113.46,115.47999999999999,-5.0600000000000005,-7.6800000000000015,0.5854,1.798,17.3,0.29460000000000003,0.7686,0.5236000000000001,13.711400000000001,13.739999999999998,0.5,0.538,1.0,0.199,99.624,98.9,82.418,99.0,0.47000000000000003,0.4,1610612737.0,2021.0
8,8,1610612737,22100120,"NOV 04, 2021",ATL,UTA,False,4,5,0.444,240,35,82,0.427,7,28,0.25,21,26,0.808,5,27,32,18,11,4,9,24,98,2021-11-04,True,9,100.6,104.3,115.9,123.4,-15.3,-19.1,0.514,2.0,14.9,0.2,0.674,0.419,9.236,9.6,0.47,0.524,1.0,0.199,98.78,94.0,78.33,94.0,0.394,2021,0,0.523,39.6,88.4,0.449,9.4,28.0,0.3306,17.2,20.6,0.8109999999999999,11.2,33.4,44.6,23.0,7.6,3.4,13.2,18.0,105.8,106.66,107.16,116.42,119.32000000000001,-9.74,-12.14,0.5832,1.816,17.18,0.26220000000000004,0.7552,0.4984,13.205200000000001,13.34,0.5024,0.5442,1.0,0.199,100.236,98.7,82.25,98.8,0.4476,0.2,1610612737.0,2021.0
9,9,1610612737,22100137,"NOV 06, 2021",ATL,PHX,False,4,6,0.4,240,42,97,0.433,13,33,0.394,20,23,0.87,14,36,50,18,3,1,12,16,117,2021-11-06,False,10,111.3,111.4,116.1,114.2,-4.8,-2.7,0.429,1.5,13.1,0.281,0.87,0.544,11.416,11.4,0.5,0.546,1.0,0.201,104.68,105.5,87.92,105.0,0.45,2021,0,0.483,38.4,90.2,0.4266,10.8,30.4,0.35219999999999996,19.4,22.4,0.8564,12.8,33.2,46.0,21.4,7.4,3.0,13.0,18.0,107.0,106.97999999999999,107.46000000000001,116.0,118.0,-9.02,-10.5,0.5606000000000001,1.716,15.9,0.2912,0.791,0.5184000000000001,12.918200000000002,13.039999999999997,0.4864,0.5356000000000001,1.0,0.2,100.732,99.6,83.0,99.6,0.4418,0.2,1610612737.0,2021.0
10,10,1610612737,22100152,"NOV 08, 2021",ATL,GSW,False,4,7,0.364,240,38,82,0.463,17,43,0.395,20,26,0.769,3,32,35,21,6,2,18,16,113,2021-11-08,False,11,104.2,108.7,120.2,124.5,-16.0,-15.9,0.553,1.17,15.9,0.267,0.735,0.511,16.599,17.3,0.567,0.605,1.0,0.201,107.06,103.0,85.83,104.0,0.426,2021,0,0.4558,38.8,87.6,0.4434,12.6,34.6,0.3584,20.6,23.8,0.8628,9.4,33.8,43.2,20.8,7.4,3.2,12.8,17.8,110.8,109.46,110.22,115.96000000000001,118.5,-6.519999999999999,-8.26,0.5378000000000001,1.698,15.8,0.2672,0.778,0.5107999999999999,12.5256,12.66,0.5156000000000001,0.5656000000000001,1.0,0.2004,101.772,100.3,83.58200000000001,100.6,0.4568,0.2,1610612737.0,2021.0
11,11,1610612737,22100156,"NOV 09, 2021",ATL,UTA,False,4,8,0.333,240,37,85,0.435,18,35,0.514,6,10,0.6,6,26,32,22,6,5,11,18,98,2021-11-09,False,12,101.7,106.5,115.7,119.6,-14.1,-13.0,0.595,1.69,17.7,0.235,0.667,0.43,13.485,14.1,0.541,0.548,1.0,0.195,95.72,92.0,76.67,92.0,0.42,2021,0,0.4082,38.6,88.0,0.43879999999999997,13.6,34.8,0.3848,16.0,20.0,0.7828,8.0,32.2,40.2,20.4,6.8,3.2,12.8,18.0,106.8,104.62,106.94000000000001,116.46,119.06000000000002,-11.86,-12.080000000000002,0.5304,1.6,15.66,0.2476,0.7558,0.4856,12.8762,13.180000000000001,0.5166,0.552,1.0,0.199,101.73600000000002,99.6,83.0,99.8,0.4306,0.0,1610612737.0,2021.0
12,12,1610612737,22100182,"NOV 12, 2021",ATL,DEN,False,4,9,0.308,240,38,93,0.409,5,28,0.179,15,21,0.714,14,36,50,20,2,5,8,20,96,2021-11-12,False,13,99.8,103.2,108.5,110.5,-8.7,-7.3,0.526,2.5,15.4,0.276,0.722,0.491,8.313,8.6,0.435,0.469,1.0,0.198,96.52,94.0,78.33,93.0,0.428,2021,1,0.3698,38.0,87.8,0.43340000000000006,12.0,33.4,0.3464,16.4,21.2,0.7522,8.4,31.4,39.8,19.8,5.6,3.4,11.6,18.8,104.4,103.52000000000001,106.82000000000001,115.28,118.44000000000001,-11.78,-11.6,0.5234,1.7719999999999998,15.4,0.2518,0.7336,0.479,11.809800000000001,12.2,0.5025999999999999,0.5384,1.0,0.1988,100.55199999999999,97.7,81.41600000000001,97.6,0.4236,0.0,1610612737.0,2021.0
13,13,1610612737,22100193,"NOV 14, 2021",ATL,MIL,True,5,9,0.357,240,47,97,0.485,15,35,0.429,11,13,0.846,15,36,51,21,6,1,12,19,120,2021-11-14,True,14,119.1,123.7,102.0,103.1,17.1,20.6,0.447,1.62,15.4,0.42,0.833,0.622,12.907,13.4,0.562,0.584,1.0,0.199,99.38,97.0,80.83,97.0,0.568,2021,1,0.3524,40.4,90.8,0.445,13.6,34.8,0.3822,14.4,18.6,0.7598,10.4,33.2,43.6,20.4,4.6,2.8,12.2,17.8,108.8,107.22,110.7,112.5,114.38,-5.299999999999999,-3.6599999999999993,0.51,1.6960000000000002,15.5,0.2958,0.7654,0.5196,12.544,12.959999999999999,0.5210000000000001,0.5504,1.0,0.1988,100.672,98.3,81.916,98.2,0.4584,0.2,1610612737.0,2021.0
14,14,1610612737,22100202,"NOV 15, 2021",ATL,ORL,True,6,9,0.4,240,47,85,0.553,14,30,0.467,21,32,0.656,9,37,46,32,10,7,11,17,129,2021-11-15,True,15,127.6,126.5,105.6,109.9,22.1,16.6,0.681,2.91,22.5,0.262,0.696,0.51,10.882,10.8,0.635,0.651,1.0,0.2,103.12,101.5,84.58,102.0,0.616,2021,1,0.3524,41.4,88.4,0.469,13.8,34.2,0.3968,14.6,20.4,0.717,9.4,33.4,42.8,23.2,6.0,4.0,12.0,18.0,111.2,110.47999999999999,113.72,110.4,113.52000000000001,0.08000000000000114,0.2000000000000007,0.5604,1.9780000000000002,17.380000000000003,0.292,0.7306,0.5128,12.4372,12.84,0.548,0.5713999999999999,1.0,0.19860000000000003,100.36,97.5,81.24799999999999,97.6,0.4915999999999999,0.4,1610612737.0,2021.0
15,15,1610612737,22100215,"NOV 17, 2021",ATL,BOS,True,7,9,0.438,240,41,81,0.506,13,37,0.351,15,18,0.833,6,34,40,28,9,4,11,17,110,2021-11-17,True,16,113.5,115.8,105.9,104.2,7.6,11.6,0.683,2.0,21.4,0.214,0.729,0.489,14.445,14.7,0.586,0.619,1.0,0.192,95.2,95.0,79.17,95.0,0.56,2021,1,0.36719999999999997,42.0,88.2,0.47759999999999997,13.0,33.0,0.388,13.6,18.8,0.7298,10.0,33.8,43.8,24.6,6.6,4.4,10.6,18.2,110.6,112.33999999999999,115.14000000000001,107.54,109.46,4.800000000000002,5.700000000000001,0.5864,2.144,18.479999999999997,0.2814,0.7294,0.5084,12.0064,12.32,0.5518,0.5742,1.0,0.1968,97.988,95.9,79.916,95.8,0.5184,0.6,1610612737.0,2021.0
